date,total_steps,source,device_name,device_manufacturer,creation_time
2020-01-02,1883,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-03,183,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-04,2895,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-05,2332,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-06,7717,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-07,3513,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-08,6577,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-09,4323,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-10,6620,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-11,443,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-12,4323,Apple Health App,iPhone,Apple Inc.,13:37:49
2020-01-13,3456,Apple Health App,iPhone,Apple Inc.,13:37:49
